id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;asset_id;asset_number;old_value;new_value;revaluation_reason;revaluation_date;appraiser
1;550e8400-e29b-41d4-a716-446655440701;ASSET_REVALUED;2024-01-16T10:00:00;1;550e8400-e29b-41d4-a716-446655440801;ASSET_001;AssetRegistration;1;AST001;125000.50;135000.75;Market appreciation;2024-01-16;Professional Appraisers Inc
2;550e8400-e29b-41d4-a716-446655440702;ASSET_REVALUED;2024-01-16T10:30:00;1;550e8400-e29b-41d4-a716-446655440802;ASSET_002;AssetRegistration;2;AST002;89750.25;78500.00;Market depreciation;2024-01-16;Asset Valuation Services
3;550e8400-e29b-41d4-a716-446655440703;ASSET_REVALUED;2024-01-16T11:00:00;1;550e8400-e29b-41d4-a716-446655440803;ASSET_003;AssetRegistration;3;AST003;67890.75;72000.50;Technology upgrade;2024-01-16;Tech Appraisal Experts
4;550e8400-e29b-41d4-a716-446655440704;ASSET_REVALUED;2024-01-16T11:30:00;1;550e8400-e29b-41d4-a716-446655440804;ASSET_004;AssetRegistration;4;AST004;156780.00;148900.25;Wear and tear assessment;2024-01-16;Vehicle Assessment Corp
5;550e8400-e29b-41d4-a716-446655440705;ASSET_REVALUED;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655440805;ASSET_005;AssetRegistration;5;AST005;98456.30;105600.80;Performance improvements;2024-01-16;IT Asset Valuers
6;550e8400-e29b-41d4-a716-446655440706;ASSET_REVALUED;2024-01-16T12:30:00;1;550e8400-e29b-41d4-a716-446655440806;ASSET_006;AssetRegistration;6;AST006;234567.80;245000.00;Capacity enhancement;2024-01-16;Industrial Appraisers Ltd
7;550e8400-e29b-41d4-a716-446655440707;ASSET_REVALUED;2024-01-16T13:00:00;1;550e8400-e29b-41d4-a716-446655440807;ASSET_007;AssetRegistration;7;AST007;78923.45;82500.90;Security upgrade value;2024-01-16;Security Asset Experts
8;550e8400-e29b-41d4-a716-446655440708;ASSET_REVALUED;2024-01-16T13:30:00;1;550e8400-e29b-41d4-a716-446655440808;ASSET_008;AssetRegistration;8;AST008;145632.90;138750.60;Calibration adjustments;2024-01-16;Lab Equipment Valuers
9;550e8400-e29b-41d4-a716-446655440709;ASSET_REVALUED;2024-01-16T14:00:00;1;550e8400-e29b-41d4-a716-446655440809;ASSET_009;AssetRegistration;9;AST009;187456.60;195800.45;Network expansion value;2024-01-16;Telecom Asset Appraisers
10;550e8400-e29b-41d4-a716-446655440710;ASSET_REVALUED;2024-01-16T14:30:00;1;550e8400-e29b-41d4-a716-446655440810;ASSET_010;AssetRegistration;10;AST010;112345.70;118900.30;Medical certification value;2024-01-16;Healthcare Asset Valuers
