id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;lease_id;liability_amount;interest_rate;start_date;end_date;lease_contract_id;lease_contract_booking_id;lease_contract_title;lease_amortization_calculation_id
1;550e8400-e29b-41d4-a716-446655440001;LEASE_LIABILITY_CALCULATED;2024-01-16T10:30:00;1;550e8400-e29b-41d4-a716-446655440011;LEASE_001;LeaseContract;LEASE_001;125000.50;0.045000000000000;2024-01-01;2024-12-31;1;BOOKING_001;Office Space Lease Agreement;1
2;550e8400-e29b-41d4-a716-446655440002;LEASE_LIABILITY_CALCULATED;2024-01-16T11:15:00;1;550e8400-e29b-41d4-a716-446655440012;LEASE_002;LeaseContract;LEASE_002;89750.25;0.038500000000000;2024-01-15;2024-12-31;2;BOOKING_002;Warehouse Rental Contract;2
3;550e8400-e29b-41d4-a716-446655440003;LEASE_LIABILITY_CALCULATED;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655440013;LEASE_003;LeaseContract;LEASE_003;67890.75;0.042000000000000;2024-02-01;2024-12-31;3;BOOKING_003;Equipment Lease Agreement;3
4;550e8400-e29b-41d4-a716-446655440004;LEASE_LIABILITY_CALCULATED;2024-01-16T13:45:00;1;550e8400-e29b-41d4-a716-446655440014;LEASE_004;LeaseContract;LEASE_004;156780.00;0.050000000000000;2024-01-10;2024-12-31;4;BOOKING_004;Vehicle Fleet Lease;4
5;550e8400-e29b-41d4-a716-446655440005;LEASE_LIABILITY_CALCULATED;2024-01-16T14:30:00;1;550e8400-e29b-41d4-a716-446655440015;LEASE_005;LeaseContract;LEASE_005;98456.30;0.040000000000000;2024-01-20;2024-12-31;5;BOOKING_005;Retail Space Lease;5
6;550e8400-e29b-41d4-a716-446655440006;LEASE_LIABILITY_CALCULATED;2024-01-16T15:15:00;1;550e8400-e29b-41d4-a716-446655440016;LEASE_006;LeaseContract;LEASE_006;234567.80;0.047500000000000;2024-01-05;2024-12-31;6;BOOKING_006;Manufacturing Facility Lease;6
7;550e8400-e29b-41d4-a716-446655440007;LEASE_LIABILITY_CALCULATED;2024-01-16T16:00:00;1;550e8400-e29b-41d4-a716-446655440017;LEASE_007;LeaseContract;LEASE_007;78923.45;0.035000000000000;2024-02-15;2024-12-31;7;BOOKING_007;Storage Unit Lease;7
8;550e8400-e29b-41d4-a716-446655440008;LEASE_LIABILITY_CALCULATED;2024-01-16T16:45:00;1;550e8400-e29b-41d4-a716-446655440018;LEASE_008;LeaseContract;LEASE_008;145632.90;0.043000000000000;2024-01-25;2024-12-31;8;BOOKING_008;Technology Equipment Lease;8
9;550e8400-e29b-41d4-a716-446655440009;LEASE_LIABILITY_CALCULATED;2024-01-16T17:30:00;1;550e8400-e29b-41d4-a716-446655440019;LEASE_009;LeaseContract;LEASE_009;187456.60;0.048000000000000;2024-01-12;2024-12-31;9;BOOKING_009;Commercial Property Lease;9
10;550e8400-e29b-41d4-a716-446655440010;LEASE_LIABILITY_CALCULATED;2024-01-16T18:15:00;1;550e8400-e29b-41d4-a716-446655440020;LEASE_010;LeaseContract;LEASE_010;112345.70;0.041500000000000;2024-02-01;2024-12-31;10;BOOKING_010;Industrial Equipment Lease;10
